objectid,cod_loc,localidad,estado,barriocomu,cod_polbar,shape_area,shape_len,codigo_upz,area_m2,population_x,pop_density_x,estrato_0,estrato_1,estrato_2,estrato_3,estrato_4,estrato_5,estrato_6,street_total_length,street_len_CL,street_ratio_CL,street_len_KR,street_ratio_KR,street_len_None,street_ratio_None,street_len_AK,street_ratio_AK,street_len_TV,street_ratio_TV,street_len_DG,street_ratio_DG,street_len_AC,street_ratio_AC,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,source,Matched_Barrio,Cantidad,murder_rate_per_1000
859,12,Barrios Unidos,LEGALIZADO,el rosario,120009,3.22E-05,0.024440522,103,394991.1693,1298,3286.149415,0.803064662,0,0,0.196935338,0,0,0,6607.685488,858.0513781,0.129856571,1359.846783,0.205797746,0,0,2541.786857,0.384671283,0,0,0,0,1235.943914,0.18704642,0.011902482,0.007891665,0.104255988,0.029156747,0.133095794,0.239561394,0.1089318,0.5,0.082352941,0.088235294,0,0.647058824,2016central,el rosario,2,1.540832049
891,14,Los Mártires,LEGALIZADO,ricaurte,140014,5.42E-05,0.030762073,102,664624.1019,3304,4971.231093,0.080867328,0,0,0.919132672,0,0,0,15215.05246,5130.83558,0.337221025,5664.016355,0.372264004,0,0,2054.309933,0.135018262,0,0,0,0,2365.89059,0.155496709,0.010433086,0.003010822,0.09213866,0.025262381,0.212399995,0.159665249,0.011770056,0.507614213,0.030456853,0.182741117,0,0.598984772,2016central,ricaurte,5,1.513317191
2848,18,Rafael Uribe,SIN LEGALIZAR,quiroga ix etapa,180112,7.64E-06,0.014579905,39,93697.47721,1988,21217.22014,0.071362069,0,0,0.928637931,0,0,0,2891.283494,1043.871268,0.361040787,1847.412227,0.638959213,0,0,0,0,0,0,0,0,0,0,0.006053298,0.002628234,0.129108621,0.029507879,0.20745729,0.261155355,0.053234766,0.669354839,0.008064516,0.064516129,0,2.427419355,2016south,quiroga ix etapa,3,1.509054326
1106,8,Kennedy,LEGALIZADO,nueva york,80206,3.06E-06,0.008764919,45,37529.8806,1353,36051.27376,0,0,0,1,0,0,0,1287.152322,721.558411,0.560585098,219.8750042,0.170822831,0,0,345.7189067,0.26859207,0,0,0,0,0,0,0.008697278,0.000371944,0.156511722,0.023054278,0.103199,0.1998655,0.0553235,1.666666667,1.111111111,0.111111111,0,0.166666667,2016south,nueva york,2,1.4781966
3556,11,,LEGALIZADO,tuna alta,110648,3.89E-06,0.010593298,27,47733.99545,696,14580.80333,0,0,0,0.999276107,0.000723893,0,0,1184.600831,519.4303559,0.438485558,590.6590411,0.498614407,0,0,0,0,0,0,0,0,0,0,0.01031356,0.11335806,0.05327504,0.06044394,0.3697827,0.14273322,0.1013993,0.62,0.04,0.02,0,0.06,2016north,tuna alta,1,1.436781609
445,4,San Cristóbal,LEGALIZADO,los puentes,40113,1.96E-06,0.009580127,50,24028.6673,722,30047.44253,0.435002431,0,0.564997569,0,0,0,0,1174.224209,605.9454033,0.516038929,10.42357573,0.008876989,0,0,0,0,444.626881,0.378655863,83.55231885,0.071155337,0,0,0.00480075,0.0062695,0.114747,0,0.324035,0.1306255,0.27486725,0,0,0,0,0,2016south,los puentes,1,1.385041551
93,6,Tunjuelito,LEGALIZADO,muzu,60014,3.68E-05,0.041110021,42,451989.043,753,1665.969588,0.924203651,0,0.075324989,0.00047136,0,0,0,2817.299478,731.5563221,0.2596658,629.4453212,0.223421516,0,0,978.2982432,0.347246805,0,0,94.78484025,0.033643864,0,0,0,0,0.1682935,0.0059165,0.0674815,0.3944845,0.0370285,1,0,0,0,0.25,2016south,muzu,1,1.328021248
119,3,Santa Fe,LEGALIZADO,la capuchina,30019,2.40E-05,0.020969697,93,293890.3966,2303,7836.254694,0.191696667,0,0,0.808303333,0,0,0,9130.527183,3768.049358,0.412686944,5316.553941,0.582283348,0,0,0,0,0,0,0,0,24.10656099,0.002640216,0.022374469,0.004277862,0.113460714,0.038150411,0.386707942,0.142400643,0.02674133,3.629464286,0.013392857,0.111607143,0,0.142857143,2016south,la capuchina,3,1.302648719
2798,13,Teusaquillo,LEGALIZADO,palermo,130041,2.89E-05,0.024803431,101,354937.4348,5016,14132.0681,0.054983742,0,0,0.08508922,0.859927038,0,0,10188.70341,2029.187966,0.199160569,2222.343861,0.218118417,0,0,716.703651,0.070342969,1761.992512,0.172935892,1998.962896,0.196194041,1407.084888,0.138102449,0.023615162,0.015528072,0.086714133,0.052843122,0.275530614,0.167464066,0.161896968,1.319148936,0.063829787,0.082446809,0.002659574,0.196808511,2016central,palermo,6,1.196172249
566,10,Engativá,SIN LEGALIZAR,bochica compartir,100013,1.35E-05,0.019742886,72,166007.2548,5087,30643.23909,0.495618052,0,0,0.504381948,0,0,0,1837.360153,417.4373935,0.227194104,617.9111119,0.336303751,0,0,174.2503816,0.094837357,0,0,448.6415208,0.244177234,179.1197457,0.097487553,0.0713472,0.007520967,0.144053067,0.024152567,0.180945267,0.200508167,0.248086067,0.466666667,0,0.033333333,0,0.133333333,2016north,bochica compartir,6,1.179477098
2590,4,San Cristóbal,LEGALIZADO,la colmena,40073,5.23E-06,0.012629795,50,64116.80507,1804,28136.1493,0.032060237,0,0.967939763,0,0,0,0,2089.755236,1110.28923,0.531301088,802.1574076,0.383852326,0,0,0,0,92.77551171,0.044395396,84.53308621,0.04045119,0,0,0.010280483,0.059665724,0.115945207,0.01746869,0.136874483,0.326231655,0.127109621,1.172413793,0,0,0,0.034482759,2016south,la colmena,2,1.10864745
1238,8,Kennedy,SIN LEGALIZAR,nuevo kennedy,80208,4.79E-06,0.011481476,47,58828.46236,906,15400.70849,0,0,0,1,0,0,0,2179.004835,887.7969217,0.407432286,676.3534346,0.310395564,0,0,264.796387,0.121521707,0,0,0,0,350.0580922,0.160650443,0.180933875,0.0015125,0.303644125,0.010349625,0.05105675,0.173428,0.178804375,2.25,0.125,0.375,0,0,2016central,nuevo kennedy,1,1.103752759
402,4,San Cristóbal,LEGALIZADO,primero de mayo,40130,7.57E-06,0.0127385,33,92923.42529,909,9782.248095,0.012416944,0,0,0.987583056,0,0,0,2236.505397,1364.04626,0.609900723,870.5718368,0.389255415,0,0,0,0,0,0,1.43105034,0.00063986,0,0,0.008887342,0.01167174,0.097636233,0.061050247,0.159769521,0.320044767,0.124312151,1.917808219,0.01369863,0.082191781,0,0.287671233,2016south,primero de mayo,1,1.100110011
2912,5,Usme,LEGALIZADO,puerta al llano,50169,1.01E-05,0.016755874,59,123806.8347,2739,22123.17281,0.086905972,0.913094028,0,0,0,0,0,4501.13083,1352.581906,0.300498243,2947.387366,0.654810419,0,0,0,0,112.5376304,0.025002079,0,0,0,0,0.00098675,0.019735125,0.106431875,0.00523125,0.01480925,0.315569125,0.02169225,0.25,0.125,0,0,0.25,2016south,puerta al llano,3,1.095290252
2691,10,Engativá,SIN LEGALIZAR,aguas claras,100281,5.85E-06,0.010719608,30,71798.45954,1929,26866.87169,0.119902162,0,0,0.880097838,0,0,0,2425.542575,1281.684247,0.528411358,975.9997,0.402384073,0,0,0,0,0,0,0,0,167.858628,0.069204569,0.009221408,0.004614602,0.065740155,0.08766232,0.38636901,0.257387097,0.049623786,1.223300971,0.058252427,0.038834951,0,0.126213592,2016north,aguas claras,2,1.036806636
2802,13,Teusaquillo,LEGALIZADO,la magdalena,130030,1.80E-05,0.017658256,101,221163.252,977,4417.551249,0.076596632,0,0,0,0.923403368,0,0,6708.95252,1975.9836,0.294529376,2672.143449,0.39829518,0,0,302.1222764,0.045032705,375.1640294,0.055919911,1383.539166,0.206222829,0,0,0.031148625,0.018500102,0.082025363,0.061097535,0.17539648,0.175118031,0.295237781,1.36328125,0.015625,0.04296875,0,0.15234375,2016central,la magdalena,1,1.023541453
