Barrio,Matched_Barrio,Score,recheck,codigo_upz,Cantidad
BELLA VISTA SUR E-4,bella vista,100,,28,3.0
BELLAVISTA ALTA E-5,bellavista,100,,26,4.0
BELLAVISTA ALTA E-5,bellavista,100,,28,4.0
BELLAVISTA E-19,bellavista,100,,26,4.0
BELLAVISTA E-19,bellavista,100,,28,4.0
BELLAVISTA E-8,bellavista,100,,26,3.0
BELLAVISTA E-8,bellavista,100,,28,3.0
BELLO HORIZONTE E-4,bello horizonte,100,,34,2.0
BILBAO E-11,bilbao i sector,70,,71,4.0
BILBAO II ETAPA E-11,bilbao ii sector,72,,71,2.0
BOCHICA E-10,bochica ii,82,,72,1.0
BOGOTA SUR - LA ESPERANZA E-19,esperanza,100,,55,1.0
BOHIOS DE HUNZA E-9,los bohíos de hunza iii sector,69,,76,1.0
BOITA E-8,boita i sector,71,,48,1.0
BOMBAY E-8,bombay,100,,45,2.0
BONANZA E-10,la bonanza,82,,26,1.0
BONANZA SUR E-19,bonanza sur,100,,69,1.0
BOSA CARBONEL II E-7,s.c bosa,66,,85,1.0
BOSA CENTRO E-7,s.c. centro usme,73,,61,3.0
BOSA E-7,s.c bosa,75,,85,1.0
BOSA NOVA E-7,bosa nova,100,,84,1.0
BOSQUE CALDERÓN E-2,bosque calderón tejada 2,94,,90,
BOSQUE DE SAN CARLOS E-18,bosque de san carlos,100,,36,1.0
BOSQUES DE CASTILLA E-8,bosques de castilla,100,,46,1.0
BOSQUES DE MODELIA E-9,modelia,100,,114,1.0
BOSQUES DE SAN JOSÉ E-18,bosques de san josé,100,,55,
BOSTON E-9,boston,100,,75,1.0
BRASIL II SECTOR II ETAPA E-7,brasil ii sector,100,,84,1.0
BRASILIA I SECTOR E-7,brasilia i sector,100,,84,8.0
BRASILL II SECTOR E-7,brasil ii sector,86,,84,1.0
BRAVO PÁEZ E-18,s.c. bravo paez,68,,39,
BULEVAR DEL SUR E-5,bulevar del sur,100,,57,2.0
CALDAS E-7,caldas,100,,86,1.0
CALIFORNIA   E-8,california,100,,11,1.0
CALLEJÓN DE SANTA BÁRBARA E-18,santa bárbara,100,,95,
CAMPANELLA E-11,campanella,100,,27,1.0
CANDELARIA III-IV E-19,villa candelaria,76,,70,9.0
CANDELARIA LA NUEVA I SECTOR E-19,candelaria la nueva,100,,66,1.0
CANTALEJO E-11,cantalejo,100,,18,1.0
CARACOL E-8,el caracol,85,,79,1.0
CARACOLÍ E-10,el caracol,82,,79,
CARACOLÍ E-19,el caracol,82,,79,
CARTAGENA E-3,cartagena,100,,96,1.0
CARVAJAL E-8,carvajal,100,,45,9.0
CASA GRANDE E-19,casa grande,100,,69,1.0
CASTILLA LA NUEVA E-8,castilla,100,,46,1.0
CASTILLA REAL     E-8,castilla,100,,46,1.0
CEMENTERIO (USME) E-5,s.c. centro usme,76,,61,3.0
CENTRO ADMINISTRATIVO E-17,centro administrativo,100,,94,2.0
CENTRO USME E-5,s.c. centro usme,86,,61,3.0
CERROS DE ORIENTE E-18,cerros de oriente,100,,54,1.0
CERROS DE SUBA E-11,niza suba - cerros de sotileza,84,,24,1.0
CERROS NORTE E-1,cerros norte,100,,11,1.0
CERVANTES E-8,ciudad kennedy supermanzana 8,57,0.0,47,1.0
CHAPARRAL E-1,chaparral,100,,9,1.0
CHAPINERITO E-5,chapinerito,100,,59,1.0
CHAPINERO SUR OCC. E-13,s.c. chapinero norte,68,,99,1.0
CHARLES DE GAULLE E-7,charles de gaulle,100,,85,1.0
CHICALA E-7,chicala,100,,24,1.0
CHICO NORTE I E-2,s.c. chico norte,84,,97,1.0
CHICO SUR E-7,chico sur,100,,58,1.0
CHUCUA EL BURRO E-8,la chucua,80,,45,1.0
CHUNIZA E-5,chuniza,100,,58,1.0
CIUDAD DE CALI E-8,ciudad de cali,100,,82,1.0
CIUDAD DE LONDRES E-4,ciudad de londres,100,,51,1.0
CIUDAD GALÁN E-8,ciudad galán,100,,82,
CIUDAD GRANADA E-8,ciudad granada,100,,82,1.0
CIUDAD JARDIN SUR E-15,ciudad jardín del sur,83,,35,3.0
CIUDAD KENNEDY CENTRAL E-8,ciudad kennedy norte,82,,47,3.0
CIUDAD KENNEDY SUR   E-8,ciudad kennedy supermanzana 8,84,,47,2.0
CIUDAD SALITRE II E-13,ciudad salitre,100,,110,1.0
CIUDAD SANTA ROSA E-4,santa rosa,100,,25,3.0
CIUDADELA COLSUBSIDIO E-10,ciudadela colsubsidio,100,,72,1.0
CIUDADELA EL PORVENIR E-7,el porvenir,100,,3,2.0
CLARET E-18,s.c. claret,76,,39,3.0
CLARETIANO E-7,claretiano,100,,85,1.0
CLASS E-8,class,100,,81,3.0
COFRADIA E-9,urb. cofradía,66,,115,2.0
COLMENA I E-4,la colmena,82,,50,2.0
COLOMBIA E-12,colombia,100,,98,1.0
COMPARTIR E-19,bochica compartir,78,,72,6.0
COMPOSTELA I E-5,compostela i,100,,57,1.0
CONJUNTO RESIDENCIAL MANUEL MEJIA E-8,conjunto residencial yaiti,86,,71,2.0
CORABASTOS E-8,corabastos,100,,80,1.0
DANUBIO AZUL E-5,danubio,100,,84,5.0
DIAMANTE SUR E-7,diamante sur,100,,84,1.0
DIANA TURBAY E-18,diana turbay,100,,55,7.0
DINDALITO E-8,dindalito,100,,82,2.0
DOCE DE OCTUBRE E-12,12 de octubre,100,,22,2.0
DUITAMA DESARROLLO E-5,duitama,100,,56,2.0
ECHEVERRY E-7,gloria lara de echeverry ii,81,,28,1.0
EDUARDO SANTOS E-14,eduardo santos,100,,37,2.0
EL AMPARO E-8,el amparo,100,,80,7.0
EL ANHELO E-7,el anhelo,100,,86,1.0
EL CARMELO E-8,el carmelo,100,,81,5.0
EL CARMEN E-9,el carmen,100,,28,1.0
EL CEDRO (ENGATIVÁ CENTRO) E-10,el cedro,100,,71,
EL CERRITO E-18,el cerrito,100,,54,1.0
EL CHARCO I E-9,el charco,100,,77,1.0
EL CODITO E-1,el codito,100,,9,4.0
EL CONDADO REAL E-11,el real,100,,31,1.0
EL CONSUELO E-18,el consuelo,100,,96,1.0
EL CORZO E-7,el corzo,100,,86,1.0
EL CURUBO E-5,el curubo,100,,57,1.0
EL DIVINO NIÑO E-19,divino niño,100,,68,
EL DORADO E-3,el dorado,100,,96,4.0
EL EJIDO E-16,el ejido,100,,108,1.0
EL ENSUEÑO E-19,el ensueño,100,,69,
EL JARDÍN E-1,el jardín,100,,85,
EL JARDÍN E-7,el jardín,100,,85,
EL JORDAN E-11,el jordán i,72,,28,1.0
EL MIRADOR E-19,el mirador,100,,54,2.0
EL MIRADOR E-19,el mirador,100,,74,2.0
EL MOCHUELO ORIENTAL E-19,s.c el mochuelo oriental,90,,56,2.0
EL MORTIÑO E-10,el mortiño,100,,58,
EL MUELLE  E-10,el muelle i,90,,74,2.0
EL NEVADO E-5,el nevado,100,,57,1.0
EL OTOÑO E-1,el otoño,100,,9,
EL PALMAR E-7,el palmar,100,,85,1.0
EL PARAÍSO E-19,el paraíso,100,,28,
EL PARAÍSO E-19,el paraíso,100,,67,
EL PARAÍSO E-5,el paraíso,100,,28,
EL PARAÍSO E-5,el paraíso,100,,67,
EL PARAÍSO E-7,el paraíso,100,,28,
EL PARAÍSO E-7,el paraíso,100,,67,
EL PARAÍSO E-8,el paraíso,100,,28,
EL PARAÍSO E-8,el paraíso,100,,67,
EL PESEBRE E-18,el pesebre (predio),80,,27,2.0
EL PINO E-11,el pino,100,,27,1.0
EL PORTAL E-18,el portal,100,,55,1.0
EL PORVENIR E-10,el porvenir,100,,3,2.0
EL PORVENIR E-5,el porvenir,100,,3,4.0
EL PORVENIR E-7,el porvenir,100,,3,2.0
EL PROGRESO E-14,el progreso,100,,28,4.0
EL PROGRESO E-14,el progreso,100,,37,4.0
EL PROGRESO II E-5,el progreso,100,,28,1.0
EL PROGRESO II E-5,el progreso,100,,37,1.0
EL RECUERDO E-7,el recuerdo,100,,84,2.0
EL RECUERDO E-7,el recuerdo,100,,86,2.0
EL RECUERDO SAN JORGE ALTO E-18,el alto,100,,90,1.0
EL RECUERDO SUR E-19,el recuerdo,100,,84,2.0
EL RECUERDO SUR E-19,el recuerdo,100,,86,2.0
EL REFUGIO E-5,el refugio,100,,88,1.0
EL REGALO II SECTOR E-7,el regalo,100,,86,1.0
EL REMANSO E-7,remanso,100,,40,1.0
EL RESTREPO E-15,restrepo,100,,38,2.0
EL RINCÓN DE CASTILLA E-8,castilla,100,,46,
EL ROSAL - MIRADOR E-5,el mirador,100,,54,1.0
EL ROSAL - MIRADOR E-5,el mirador,100,,74,1.0
EL ROSARIO E-12,el rosario,100,,103,2.0
EL SALITRE SUBA E-11,el salitre,100,,27,1.0
EL SOCORRO E-18,el socorro,100,,54,1.0
EL TANQUE E-19,urb. el tanque,81,,85,1.0
EL TESORITO E-19,el tesorito,100,,68,5.0
EL TESORO E-19,el tesoro,100,,68,1.0
EL TINTAL E-8,el tintal,100,,78,1.0
EL TRIUNFO E-3,el triunfo,100,,59,1.0
EL TRIUNFO E-3,el triunfo,100,,96,1.0
EL TRIUNFO SUR E-19,el triunfo,100,,59,1.0
EL TRIUNFO SUR E-19,el triunfo,100,,96,1.0
EL TUNAL II E-6,s.c. el tintal ii,77,,77,3.0
EL UVAL E-5,el uval,100,,61,1.0
EL VERBENAL III SECTOR E-1,el verbenal iii sector,100,,9,2.0
EL VIRREY ULTIMA ETAPA E-5,el virrey,100,,58,2.0
ENTRERIOS E-12,entrerios,100,,21,1.0
ESTACIÓN CENTRAL E-16,estación central,100,,108,
FERIAS E-10,las ferias,75,,26,2.0
FLORIDA BLANCA E-10,florida,100,,102,3.0
FLORIDA SUR ALTO E-19,florida,100,,102,1.0
FONTANAR DEL RÍO B E-11,fontanar del río,100,,71,
FONTIBON CENTRO E-9,centro fontibón,82,,75,4.0
GARCES NAVAS E-10,garcés navas,75,,73,4.0
GIBRALTAR E-19,gibraltar i,90,,67,1.0
GILMAR E-11,gilmar,100,,18,0.0
GRAN BRITALIA E-8,gran britalia,100,,81,3.0
GRAN COLOMBIA E-3,colombia,100,,98,1.0
GRAN YOMASA E-5,gran yomasa,100,,57,1.0
GRANADA E-2,s.c. granada,81,,90,1.0
GRANADA NORTE E-11,granada norte,100,,18,1.0
GRANADA SUR E-4,granada sur,100,,34,1.0
GRANCOLOMBIANO I SECTOR E-7,grancolombiano i,100,,85,2.0
GUACAMAYAS I-II E-4,las guacamayas,83,,50,4.0
GUSTAVO RESTREPO E-18,gustavo restrepo,100,,36,5.0
HOLANDA E-7,holanda,100,,84,2.0
INGLES E-18,s.c. ingles,76,,39,4.0
ISLA DEL SOL E-6,isla del sol,100,,42,2.0
ISLANDIA E-7,islandia,100,,85,2.0
JERUSALÉN E-19,jerusalén,100,,70,
JIMÉNEZ DE QUEZADA E-7,jiménez de quesada,85,,85,
JORGE URIBE BOTERO E-7,s.c. jorge uribe botero,90,,84,1.0
JOSE ANTONIO GALAN E-7,san antonio,77,,84,3.0
JOSÉ DOMINGO LAIN E-19,domingo lain i,92,,67,
JUAN JOSE RONDON E-4,juan josé rondon,85,,52,1.0
JUAN JOSÉ RONDON E-19,juan josé rondon,100,,52,
JUAN JOSÉ RONDON SECTOR LA CASONA E-19,juan josé rondon,100,,52,
JUAN PABLO II E-19,juan pablo,100,,67,3.0
JUAN REY E-4,juan rey,100,,51,2.0
JUAN XXIII E-2,juan xxiii,100,,98,1.0
KASANDRA E-9,kasandra,100,,77,1.0
LA ALAMEDA E-19,alameda,100,,74,1.0
LA ALAMEDA E-3,alameda,100,,74,3.0
LA ALAMEDA E-9,alameda,100,,74,1.0
LA ANDREA E-5,la andrea,100,,57,0.0
LA AURORA I SECTOR E-5,la aurora,100,,28,2.0
LA AURORA I SECTOR E-5,la aurora,100,,85,2.0
LA BELLEZA E-4,la belleza,100,,51,2.0
LA CABAÑA E-10,la cabaña,100,,26,
LA CABAÑA E-10,la cabaña,100,,67,
LA CABAÑA E-5,la cabaña,100,,26,
LA CABAÑA E-5,la cabaña,100,,67,
LA CANDELARIA E-17,candelaria la nueva,83,,66,1.0
LA CAPUCHINA E-3,la capuchina,100,,93,3.0
LA CAROLINA E-1,la carolina,100,,54,0.0
LA CAROLINA SUBA E-11,la carolina,100,,54,1.0
LA CONCEPCION E-7,la concepción,80,,84,1.0
LA CUMBRE E-19,la cumbre,100,,68,1.0
LA ESMERALDA E-13,esmeralda,100,,64,1.0
LA ESMERALDA E-19,esmeralda,100,,64,2.0
LA ESMERALDA E-5,esmeralda,100,,64,1.0
LA ESPAÑOLA E-10,española iii sector,66,,29,
LA ESPERANZA E-4,esperanza,100,,55,1.0
LA ESTACIÓN E-7,la estación,100,,85,
LA ESTANCIA E-19,la estancia,100,,69,4.0
LA ESTANZUELA E-14,la estanzuela,100,,28,1.0
LA ESTRADA E-10,la estrada,100,,26,2.0
LA ESTRELLA DEL SUR E-19,estrella,100,,101,6.0
LA FAVORITA E-14,la favorita,100,,102,7.0
LA FISCALA E-5,la fiscala,100,,56,2.0
LA FLORA ALTA E-4,la flora,100,,52,1.0
LA FLORIDA E-10,florida,100,,102,1.0
LA FLORIDA SUR E-19,florida,100,,102,1.0
LA FORTALEZA E-5,la fortaleza,100,,57,1.0
LA FRAGUA E-15,la fragua,100,,37,1.0
LA FRAGUITA ZONA INVADIDA E-15,la fraguita,100,,38,1.0
LA GAITANA E-11,la gaitana,100,,71,7.0
LA GRANJA E-10,la granja,100,,30,1.0
LA IGUALDAD E-8,la igualdad,100,,44,1.0
LA INDEPENDENCIA E-7,la independencia,100,,84,5.0
LA LIBERTAD E-7,la libertad,100,,22,4.0
LA LLANURA   E-8,la llanurita,76,,9,1.0
LA MAGDALENA E-13,la magdalena,100,,101,1.0
LA MARIA   E-8,la maria,100,,61,1.0
LA MARIA E-19,la maria,100,,61,1.0
LA MARICHUELA E-5,marichuela,100,,57,2.0
LA PALESTINA E-9,palestina,100,,75,1.0
LA PAZ (EL CEBADAL) E-18,la paz,100,,74,1.0
LA PAZ (EL CEBADAL) E-18,la paz,100,,98,1.0
LA PAZ E-18,la paz,100,,74,2.0
LA PAZ E-18,la paz,100,,98,2.0
LA PAZ E-5,la paz,100,,74,1.0
LA PAZ E-5,la paz,100,,98,1.0
LA PAZ E-7,la paz,100,,74,1.0
LA PAZ E-7,la paz,100,,98,1.0
LA PEPITA E-14,la pepita,100,,102,1.0
LA PERSEVERANCIA E-3,la perseverancia,100,,92,1.0
LA PLAYA E-19,la playa,100,,32,4.0
LA PLAYA E-19,la playa,100,,54,4.0
LA RESURRECCIÓN II E-18,la resurrección ii,100,,53,
LA RIVERA E-8,la rivera,100,,82,2.0
LA RIVIERA E-10,la riviera,100,,74,2.0
LA SABANA E-14,la sabana,100,,102,1.0
LA SOLEDAD E-13,la soledad,100,,101,1.0
LA TOSCANA E-11,la toscana,100,,71,1.0
LA VICTORIA E-11,la victoria,100,,50,1.0
LA VICTORIA E-4,la victoria,100,,50,10.0
LAGOS DE SUBA E-11,rincón de suba sector lagos de la frontera,83,,28,1.0
LAS ACACIAS E-19,acacias,100,,27,2.0
LAS ACACIAS E-8,acacias,100,,27,2.0
LAS AGUAS E-3,las aguas,100,,92,4.0
LAS AMERICAS E-8,las americas,100,,101,3.0
LAS BRISAS E-4,las brisas,100,,58,1.0
LAS BRISAS E-4,las brisas,100,,76,1.0
LAS BRISAS E-8,las brisas,100,,58,1.0
LAS BRISAS E-8,las brisas,100,,76,1.0
LAS COLINAS E-18,las colinas,100,,53,5.0
LAS CRUCES E-3,las cruces,100,,95,7.0
LAS FERIAS E-10,las ferias,100,,26,1.0
LAS GAVIOTAS URB. E-4,urb. las gaviotas,100,,51,1.0
LAS HUERTAS E-19,las huertas,100,,69,4.0
LAS MALVINAS E-4,malvinas,100,,50,3.0
LAS MARGARITAS E-7,las margaritas,100,,71,1.0
LAS MARGARITAS E-7,las margaritas,100,,83,1.0
LAS NIEVES E-3,las nieves,100,,93,1.0
LAS PALMITAS E-8,las palmitas,100,,82,2.0
LAS VEGAS E-8,las vegas,100,,82,3.0
LAURELES E-4,laureles ii,84,,74,1.0
LAURELES LA ESTACIÓN E-7,la estación,100,,85,
LIBERTADORES E-4,los libertadores,85,,51,1.0
LISBOA E-11,lisboa,100,,71,2.0
LLANO GRANDE E-8,llano grande,100,,80,5.0
LOS ANDES SECTOR V NUTIBARA E-19,los andes,100,,25,1.0
LOS ANGELES E-10,recreo de los angeles 1 y 2,81,,87,1.0
LOS CEDRITOS E-1,cedritos,100,,13,2.0
LOS CEREZOS E-10,los cerezos,100,,29,1.0
LOS CHIRCALES E-18,chircales,100,,77,3.0
LOS COMUNEROS E-5,comuneros,100,,58,2.0
LOS DUQUES E-19,los duques,100,,68,1.0
LOS LACHES E-3,los laches,100,,96,4.0
LOS LAURELES E-7,los laureles,100,,74,2.0
LOS LIBERTADORES E-4,los libertadores,100,,51,1.0
LOS MOLINOS DEL SUR E-18,s.c molinos del sur,88,,54,1.0
LOS MOLINOS II SECTOR E-18,los molinos ii sector,100,,55,1.0
LOS NARANJOS E-11,los naranjos,100,,10,2.0
LOS OLIVARES E-5,olivares,100,,57,3.0
LOS PIJAOS E-18,los pijaos,100,,36,1.0
LOS PINOS E-4,los pinos,100,,51,2.0
LOS PINOS E-5,los pinos,100,,51,1.0
LOS PUENTES E-18,los puentes,100,,50,1.0
LOS TRES REYES - I ETAPA E-19,los tres reyes 1a. etapa,93,,69,1.0
LOURDES E-2,lourdes,100,,96,1.0
LOURDES E-3,lourdes,100,,96,1.0
LUCERO ALTO E-19,bellavista lucero alto,81,0.0,67,6.0
LUCERO BAJO E-19,lucero bajo,100,,67,6.0
LUCERO MEDIO E-19,lucero medio,100,,67,1.0
LUIS CARLOS GALAN E-10,san carlos,75,,62,2.0
LUIS LÓPEZ DE MEZA E-18,luís lópez de mesa,73,,53,
MANDALAY I ETAPA E-8,mandalay,100,,44,1.0
MANZANARES E-5,manzanares,100,,85,1.0
MANZANARES E-7,manzanares,100,,85,3.0
MARANDU E-10,marandu,100,,74,1.0
MARANDU E-19,marandu,100,,74,1.0
MARCO FIDEL SUAREZ E-18,marco fidel suárez,78,,54,4.0
MARIA PAZ E-8,maria paz,100,,80,8.0
MARISCAL SUCRE E-5,mariscal sucre,100,,90,2.0
MARÍA CANO E-19,maria cano,64,,69,
MEISSEN E-19,meissen,100,,67,1.0
MERCED SUR SAN IGNACIO E-18,san,100,,14,1.0
MILENTA E-16,milenta,100,,43,1.0
MIRADOR DEL NORTE E-1,mirador del norte,100,,9,2.0
MODELIA E-9,modelia,100,,114,1.0
MODELO E-12,popular modelo,70,,22,1.0
MOLINOS DEL SUR E-18,s.c molinos del sur,88,,54,6.0
MONTECARLO PLAZA E-1,montecarlo,100,,32,1.0
MONTEVIDEO E-9,montevideo,100,,58,1.0
MORALBA E-4,s.c. moralba,81,,50,1.0
MURILLO TORO E-18,s.c. murillo toro,85,,39,1.0
MUZU E-16,muzu,100,,42,1.0
MÉXICO E-19,méxico,100,,67,
NICOLAS DE FEDERMAN E-13,nicolás de federman,83,,106,1.0
NORMANDIA E-10,normandia,100,,31,1.0
NUEVA COLOMBIA E-19,colombia,100,,98,2.0
NUEVA DELLY E-4,nueva delly,100,,51,1.0
NUEVA ESPAÑA E-4,nueva españa,100,,32,
NUEVA ESPERANZA E-18,esperanza,100,,55,1.0
NUEVA GLORIA E-4,la nueva gloria,88,,51,3.0
NUEVA GRANADA E-7,nueva granada,100,,85,2.0
NUEVA YORK E-8,nueva york,100,,45,2.0
NUEVO CORINTO E-11,nuevo corinto,100,,28,2.0
NUEVO KENNEDY E-8,nuevo kennedy,100,,47,1.0
NUEVO MUZO II SECTOR I ETAPA E-6,nuevo muzu ii sector 1 a etapa,87,,42,1.0
NUEVO PORVENIR E-5,nuevo porvenir,100,,59,1.0
NUEVO TIMIZA E-8,timiza,100,,48,2.0
OLARTE E-7,olarte,100,,49,2.0
OLAYA E-18,s.c. olaya,73,,39,3.0
ONASIS E-8,onasis,100,,47,0.0
ORQUÍDEAS E-11,orquídeas,100,,27,
PALERMO E-13,palermo,100,,101,1.0
PALERMO SUR E-18,palermo,100,,101,5.0
PALESTINA E-7,palestina,100,,75,1.0
PALMA ALDEA E-11,palma aldea,100,,28,1.0
PALOQUEMAO E-14,paloquemao,100,,102,1.0
PARQUE LA JOYA E-19,s.c. el tesoro,80,,68,1.0
PASTRANITA I  E-8,pastranita i sector,85,,81,1.0
PATIO BONITO I E-8,patio bonito,100,,82,5.0
PERDOMO E-19,ismael perdomo,73,,69,6.0
PERPETUO SOCORRO E-8,perpetuo socorro,100,,48,2.0
PIAMONTE E-7,piamonte i etapa,80,,85,7.0
PINAR DEL RIO  E-8,pinar del río,81,,80,3.0
PINARES E-4,s.c. el pinar,78,,51,1.0
PIO XII E-8,pió xii,70,,46,1.0
POLICARPA SALAVARRIETA E-15,policarpa salavarrieta,100,,35,3.0
POLO CLUB E-12,polo club,100,,98,1.0
PORTAL II ETAPA E-5,el portal ii etapa,91,,59,2.0
PORVENIR LA CONCEPCIÓN E-7,la concepción,100,,84,
POTOSI E-19,potosí,62,,25,5.0
POTRERITO E-7,potreritos,78,,68,1.0
PRADO PINZON E-11,prado pinzon,100,,19,2.0
PRIMAVERA NUEVA E-16,la primavera,85,,69,1.0
PRIMERO DE MAYO E-4,primero de mayo,100,,33,1.0
PROGRESO II SECTOR LA REFORMA E-5,la reforma,100,,59,3.0
PROTECHO BOGOTA II ETAPA I E-19,protecho bogota ii,100,,65,1.0
PROVIDENCIA E-7,providencia,100,,85,1.0
PRÍNCIPE DE BOCHICA E-18,príncipe de bochica,100,,54,
PUERTA AL LLANO E-5,puerta al llano,100,,59,3.0
PUERTA DE TEJA E-9,puerta de teja,100,,115,1.0
QUIBA E-19,s.c quiba,73,,68,1.0
QUINDIO E-4,quindío,66,,50,4.0
QUINTA MUTIS E-12,quinta mutis,100,,98,1.0
QUINTAS DEL PLAN SOCIAL E-5,quintas de plan social,92,,58,1.0
QUIROGA IHS ETAPA E-18,quiroga ix etapa,89,,39,2.0
QUIROGA VII ETAPA E-18,quiroga ix etapa,89,,39,1.0
RECUERDO E-7,el recuerdo,86,,84,1.0
RECUERDO E-7,el recuerdo,86,,86,1.0
REPUBLICA DE CANADA E-4,republica de canadá,87,,68,1.0
RESTREPO E-15,restrepo,100,,38,9.0
RESURRECCIÓN E-18,resurrección,100,,53,
RICAURTE E-14,ricaurte,100,,102,5.0
RINCON DEL VALLE E-18,villas del rincón,68,,28,1.0
RINCÓN DE BRITALIA E-11,rincón de britalia,100,,23,
RINCÓN DE GALICIA E-19,rincón de galicia,100,,69,
RINCÓN DE SUBA E-11,rincón de suba,100,,28,
RUBI E-11,el rubí,66,,75,1.0
RUBIO SANTANDER E-15,santander,100,,75,1.0
SABANA GRANDE E-9,sabana grande,100,,77,1.0
SABANAS DEL DORADO E-10,sabanas del dorado i,94,,74,1.0
SALITRE E-11,salitre,100,,26,1.0
SAMPER MENDOZA E-14,samper,100,,91,4.0
SAN ANDRES   E-8,san andrés,100,,45,3.0
SAN ANDRÉS ALTO E-5,san andrés alto,100,,57,
SAN ANTONIO DE ESCOCIA E-7,san antonio,100,,84,1.0
SAN ANTONIO E-1,san antonio,100,,84,1.0
SAN ANTONIO E-7,san antonio,100,,84,2.0
SAN BENITO E-6,san benito,100,,62,3.0
SAN BERNARDINO E-7,san bernardino,100,,84,1.0
SAN BERNARDO E-3,san bernardo,100,,16,13.0
SAN BLAS E-4,san blass,100,,32,1.0
SAN CARLOS E-8,san carlos,100,,62,1.0
SAN CARLOS TIBABUYES E-11,san carlos de tibabuyes,100,,71,1.0
SAN CRISTOBAL E-4,san cristóbal,100,,23,2.0
SAN CRISTÓBAL ALTO E-4,san cristóbal alto,100,,32,
SAN CRISTÓBAL E-1,san cristóbal,100,,23,
SAN CRISTÓBAL NORTE E-1,san cristóbal norte,100,,11,
SAN DIEGO E-3,san diego,100,,91,1.0
SAN EUGENIO E-7,san eugenio,100,,85,1.0
SAN FELIPE E-12,san felipe,100,,57,1.0
SAN FELIPE E-5,san felipe,100,,57,1.0
SAN FERNANDO E-12,san fernando,100,,66,1.0
SAN ISIDRO E-2,san isidro,100,,89,1.0
SAN ISIDRO E-7,san isidro,100,,89,1.0
SAN ISIDRO SUR E-5,san isidro sur,100,,57,1.0
SAN JAVIER E-7,san javier,100,,84,1.0
SAN JOAQUÍN DEL VATICANO E-19,san joaquín el vaticano,100,,68,
SAN JORGE E-18,san jorge,100,,84,5.0
SAN JOSE DE BAVARIA E-11,san josé de bavaria,100,,17,1.0
SAN JOSE ORIENTAL E-4,san josé oriental,100,,50,1.0
SAN JOSÉ II SECTOR A E-7,san josé a,100,,85,
SAN JUAN BAUTISTA E-5,san juan bautista,100,,57,3.0
SAN LUIS E-7,san luís,100,,100,1.0
SAN MARTIN DE LOBA E-4,san martín de loba,100,,50,1.0
SAN MARTÍN DE PORRES E-2,san martín de porres,100,,90,
SAN MIGUEL E-4,san miguel,100,,86,2.0
SAN PEDRO E-11,san pedro,100,,84,1.0
SAN PEDRO E-11,san pedro,100,,84,1.0
SAN PEDRO E-4,san pedro,100,,84,2.0
SAN PEDRO E-4,san pedro,100,,84,2.0
SAN PEDRO E-9,san pedro,100,,84,1.0
