barrio,upz,graffiti_count,garbage_count,graffiti_exist,garbage_exist,file_count,garbage_exist_percentage,graffiti_exist_percentage
S.C. Las Brisas,33,1,0,1,0,3,0,0.333333333
S.C. Libertador,39,91,0,47,0,121,0,0.388429752
S.C. Marco Fidel Suárez,53,48,0,14,0,33,0,0.424242424
S.C. Marco Fidel Suárez I,53,43,0,24,0,45,0,0.533333333
S.C. Marruecos,54,5,0,4,0,16,0,0.25
S.C. Modelo Sur,33,98,0,40,0,62,0,0.64516129
S.C. Molinos del Sur,54,157,0,54,0,108,0,0.5
S.C. Murillo Toro,39,114,0,37,0,80,0,0.4625
S.C. Olaya,39,570,0,150,0,195,0,0.769230769
S.C. Parque Nacional Oriental,96,0,0,0,0,5,0,0
S.C. Quinta Ramos,33,45,0,13,0,16,0,0.8125
S.C. Quiroga,39,67,0,29,0,47,0,0.617021277
S.C. Quiroga Central,39,0,0,0,0,2,0,0
S.C. Ronda,66,75,0,32,0,40,0,0.8
S.C. San Cristóbal Sur,33,292,0,62,0,79,0,0.784810127
S.C. San Jorge Sur,53,65,0,26,0,91,0,0.285714286
S.C. San José Sur,36,145,0,64,0,130,0,0.492307692
S.C. San José Sur Oriental,50,47,0,17,0,50,0,0.34
S.C. San Luís,36,57,0,26,0,47,0,0.553191489
S.C. Santa Lucia,39,434,0,179,0,322,0,0.555900621
S.C. Santiago Pérez,39,123,0,46,0,107,0,0.429906542
S.C. Sena,38,59,0,37,0,57,0,0.649122807
S.C. Sosiego Sur,36,26,0,11,0,13,0,0.846153846
S.C. Velódromo,33,117,0,23,0,27,0,0.851851852
S.C. Villa Mayor Oriental,39,4,0,3,0,19,0,0.157894737
Salvador Allende,45,140,0,49,0,68,0,0.720588235
Samore,42,356,0,157,0,395,0,0.397468354
San Andrés,45,134,0,46,0,96,0,0.479166667
San Antonio - Urb. Av. Luna Park,38,66,0,29,0,40,0,0.725
San Benito,62,237,0,115,0,292,0,0.393835616
San Blass,32,139,0,33,0,61,0,0.540983607
San Carlos,62,650,0,216,0,353,0,0.611898017
San Carlos Norte,62,47,0,15,0,34,0,0.441176471
San Cristóbal Sur Viejo,32,138,0,27,0,34,0,0.794117647
San Eusebio,40,211,0,97,0,151,0,0.642384106
San Fernando,66,21,0,9,0,16,0,0.5625
San Francisco I Sector,66,32,0,10,0,18,0,0.555555556
San Francisco II Sector,66,88,0,29,0,32,0,0.90625
San Isidro_II,34,7,0,5,0,26,0,0.192307692
San Jacinto,51,5,0,4,0,17,0,0.235294118
San Jorge Central,41,125,0,65,0,162,0,0.401234568
San Jorge Central II Sector,38,37,0,18,0,46,0,0.391304348
San Jorge Gloria Gaitan,53,3,0,1,0,10,0,0.1
San Jorge_Central,38,137,0,60,0,104,0,0.576923077
San José Oriental,50,19,0,5,0,7,0,0.714285714
San Luís_,66,4,0,1,0,4,0,0.25
San Martín de Loba,50,55,0,26,0,92,0,0.282608696
San Rafael Sur Oriental,51,3,0,1,0,11,0,0.090909091
San Vicente,32,5,0,3,0,13,0,0.230769231
San Vicente Ferrer,42,492,0,230,0,485,0,0.474226804
San Vicente Sur Oriental,32,6,0,2,0,4,0,0.5
San Victorino,102,216,0,84,0,130,0,0.646153846
San_Antonio,38,575,0,218,0,361,0,0.603878116
San_Bernardo,95,496,0,214,0,344,0,0.622093023
San_Isidro,34,59,0,30,0,53,0,0.566037736
San_Juanito,53,0,0,0,0,8,0,0
San_Luís,57,8,0,5,0,5,0,1
Santa Ana,33,2,0,2,0,9,0,0.222222222
Santa Ana Sur,33,171,0,85,0,126,0,0.674603175
Santa Anita,33,12,0,9,0,21,0,0.428571429
Santa Bárbara,95,107,0,67,0,193,0,0.347150259
Santa Bárbara - Batallón Guardia Presidencial,94,21,0,8,0,9,0,0.888888889
Santa Bárbara_,94,129,0,53,0,143,0,0.370629371
Santa Inés,93,432,0,117,0,181,0,0.64640884
Santa Inés Sur,32,88,0,32,0,55,0,0.581818182
Santa Isabel,37,519,0,251,0,431,0,0.582366589
Santa Isabel Occidental,40,190,0,67,0,90,0,0.744444444
Santa Isabel Sur,37,239,0,136,0,281,0,0.483985765
Santa Isabel V Sector,38,27,0,11,0,23,0,0.47826087
Santa Isabel Veraguas,37,19,0,7,0,11,0,0.636363636
Santa Isabel del Restrepo,38,11,0,4,0,10,0,0.4
Santa Lucia Sur,42,12,0,9,0,22,0,0.409090909
Santa Matilde,40,128,0,61,0,121,0,0.504132231
Santa Matilde II Sector,40,485,0,199,0,320,0,0.621875
Santa Rita III Sector,41,77,0,38,0,92,0,0.413043478
Santa Rita Sur Oriental,51,48,0,30,0,74,0,0.405405405
Santa Rita Sur Oriental II Etapa,51,16,0,10,0,33,0,0.303030303
Santa Rosa De Lima,96,20,0,14,0,57,0,0.245614035
Santander Norte,38,384,0,114,0,135,0,0.844444444
Santander_,38,212,0,80,0,155,0,0.516129032
Sevilla,35,85,0,28,0,42,0,0.666666667
Sultana,38,2,0,2,0,4,0,0.5
Suramérica,34,311,0,82,0,90,0,0.911111111
Talavera,45,17,0,7,0,19,0,0.368421053
Tejar,41,280,0,92,0,153,0,0.60130719
Tenerife II Sector,58,16,0,14,0,20,0,0.7
Tibana,40,60,0,37,0,77,0,0.480519481
Timiza,48,95,0,17,0,17,0,1
Torremolinos,40,82,0,49,0,160,0,0.30625
Tunal Antiguo,42,60,0,23,0,34,0,0.676470588
Tunal Sector I,42,148,0,50,0,108,0,0.462962963
Tunal Sector II,39,10,0,5,0,12,0,0.416666667
Tunal Sector_I,42,17,0,8,0,16,0,0.5
Tunal Sector_II,42,449,0,160,0,364,0,0.43956044
Tundama II Etapa,45,17,0,14,0,16,0,0.875
Tunjuelito,62,470,0,177,0,385,0,0.45974026
Unidad Residencial Gonzalo Jiménez De Quesada,94,2,0,2,0,3,0,0.666666667
Unifamiliares Avenida Décima,34,31,0,14,0,21,0,0.666666667
Urb. Atlanta,65,144,0,63,0,114,0,0.552631579
Urb. Balcones de Provenza,32,7,0,3,0,3,0,1
Urb. Calima,34,5,0,3,0,3,0,1
Urb. Central - Jorge Gaitan Cortes,40,11,0,7,0,20,0,0.35
Urb. Clarelandia del Sur,85,27,0,8,0,15,0,0.533333333
Urb. Colmena I Los Pinares,51,46,0,23,0,50,0,0.46
Urb. Continental,50,5,0,2,0,3,0,0.666666667
Urb. Corkidi,40,9,0,5,0,8,0,0.625
Urb. El Paseito II Sector,50,0,0,0,0,3,0,0
Urb. El Rodeo,50,15,0,6,0,18,0,0.333333333
Urb. Fucha,36,238,0,72,0,92,0,0.782608696
Urb. Gecolsa,49,8,0,2,0,2,0,1
Urb. Golconda,33,33,0,14,0,17,0,0.823529412
Urb. Guiparma,54,30,0,9,0,15,0,0.6
Urb. Kalamary,65,25,0,9,0,13,0,0.692307692
Urb. La Coruña del Sur,34,6,0,3,0,6,0,0.5
Urb. La Herradura,32,10,0,4,0,50,0,0.08
Urb. Las Gaviotas,51,10,0,5,0,7,0,0.714285714
Urb. Las Quintas,67,9,0,4,0,7,0,0.571428571
Urb. Las Quintas del Sur,67,32,0,15,0,22,0,0.681818182
Urb. Los Balkanes,33,3,0,2,0,3,0,0.666666667
Urb. Loyola,33,14,0,5,0,6,0,0.833333333
Urb. Montebello,34,36,0,6,0,6,0,1
Urb. Moore La Colina,34,41,0,20,0,40,0,0.5
Urb. Nueva Roma Oriental Dardanelos,51,5,0,3,0,5,0,0.6
Urb. Parque Metropolitano Etapa II y III,33,46,0,20,0,34,0,0.588235294
Urb. Prados de Altamira,50,0,0,0,0,4,0,0
Urb. Primero de Mayo,34,21,0,12,0,13,0,0.923076923
Urb. San Luís,34,42,0,8,0,8,0,1
Urb. San_José,33,35,0,15,0,22,0,0.681818182
Urb. San_Luís,34,7,0,5,0,18,0,0.277777778
Urb. Serafina,34,235,0,60,0,100,0,0.6
Urb. Sotavento,68,3,0,3,0,4,0,0.75
Urb. Villa Vista (San_Cayetano),65,4,0,1,0,1,0,1
Urb. Villa del Cerro,51,12,0,5,0,22,0,0.227272727
Urbanización El Preciso,67,5,0,5,0,10,0,0.5
Velódromo,33,91,0,33,0,60,0,0.55
Venecia,42,1216,0,303,0,449,0,0.674832962
Venecia Occidental,42,292,0,88,0,147,0,0.598639456
Veracruz__,93,1198,0,209,0,229,0,0.912663755
Veraguas,37,189,0,85,0,137,0,0.620437956
Veraguas Central,40,533,0,190,0,426,0,0.44600939
Vereda Monserrate,92,189,0,43,0,153,0,0.281045752
Villa Angélica (Canadá La Guira),51,0,0,0,0,3,0,0
Villa Candelaria,70,9,0,5,0,16,0,0.3125
Villa Inés,40,22,0,15,0,83,0,0.180722892
Villa Mayor,39,350,0,133,0,263,0,0.505703422
Villa Mayor Antigua,38,278,0,132,0,267,0,0.494382022
Villa Nueva,45,62,0,24,0,53,0,0.452830189
Villa Sonia,41,52,0,23,0,111,0,0.207207207
Villa Ximena,42,1,0,1,0,5,0,0.2
Villa de los Alpes,34,76,0,33,0,55,0,0.6
Villa del Rosario,41,470,0,162,0,366,0,0.442622951
Villa del Río,49,6,0,3,0,4,0,0.75
Villa del Río II Sector,49,18,0,7,0,8,0,0.875
Voto Nacional,102,1104,0,338,0,452,0,0.747787611
