barrio,longitude,latitude,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,source
Bolivia Oriental III Etapa,"-74.10921986970394","4.7197205711714165","0.0318984827586206","0.008646448275862","0.0893348620689655","0.0247307586206896","0.0690635862068965","0.3021778275862068","0.277598448275862","0.5862068965517241","0.0","0.0","0.0","0.3103448275862069",2016north
Bolivia Sector Occidental,"-74.1127965043245","4.717494057322475","0.03779875","0.001655375","0.1073385","0.00661125","0.0373490625","0.196891125","0.45573625","0.0","0.0","0.0","0.0","0.0",2016north
Bosque de Pinos III,"-74.02510267937","4.7252698064511","0.005437037037037","0.0209625185185185","0.1707856296296296","0.0099812962962962","0.0986479629629629","0.1744116666666666","0.3012301481481482","0.6666666666666666","0.037037037037037","0.0","0.0","0.037037037037037",2016north
Bosque de Soratama,"-74.022330706235","4.7437891315542","0.011874","0.0","0.107521","0.001456","0.017621","0.157716","0.328125","0.0","0.0","0.0","0.0","0.0",2016north
Bosque de los Urapanes,"-74.06393645931333","4.729766307049434","0.0565975555555555","0.023936","0.0801773333333333","0.0107163333333333","0.0927798888888889","0.1401411111111111","0.4311178888888889","0.5555555555555556","0.0","0.0","0.0","0.0",2016north
Bosques de Granada,"-74.1269819601927","4.716881895698114","0.0283179459459459","0.0018362162162162","0.0733802702702702","0.0592891621621621","0.2051874324324324","0.2849331351351351","0.1733275675675675","1.162162162162162","0.027027027027027","0.0","0.0","0.054054054054054",2016north
Bosques de Mariana,"-74.12507652314494","4.706650206409175","0.0042031428571428","0.0076122781954887","0.1142214285714285","0.0680687142857142","0.5010607969924812","0.1352688045112781","0.0261490526315789","1.6390977443609025","0.0451127819548872","0.037593984962406","0.0","0.1052631578947368",2016north
Bosques de Normandia,"-74.10724245112564","4.677486223254318","0.0218334545454545","0.0027402727272727","0.1224078181818181","0.0445324545454545","0.138456","0.1120675454545454","0.2510459090909091","0.6363636363636364","0.0","0.0","0.0","0.3636363636363636",2016north
Bosques de San Jorge Suba,"-74.08454096739842","4.744897721814086","0.0554245714285714","0.0812525","0.1169198571428571","0.0703087142857142","0.2137890714285714","0.2422882142857143","0.0560243571428571","2.571428571428572","0.2142857142857142","0.0","0.0","0.2142857142857142",2016north
Bosques del Portal,"-74.08135724891515","4.752525371716828","0.0917232857142857","0.0998585714285714","0.0917211428571428","0.0819088571428571","0.0689032857142857","0.2239507142857142","0.1374182857142857","1.0","0.0","0.1428571428571428","0.0","0.0",2016north
Britalia - El Pijao de Oro,"-74.04960205351681","4.747758151699969","0.035781125","0.0573349374999999","0.1204565","0.0431600625","0.28746525","0.1753444375","0.107156","1.125","0.0","0.0625","0.0","0.0625",2016north
Britalia - El Tibon Albacete,"-74.052256040027","4.746828601828716","0.0172816","0.0238657","0.1226444","0.0351424","0.1254918","0.1892041","0.29094545","0.5","0.0","0.05","0.0","0.2",2016north
Britalia - Las Margaritas,"-74.050048624579","4.7475453760158","0.05659725","0.03018075","0.0728165","0.0595325","0.41934775","0.09893775","0.0966084999999999","0.75","0.0","0.0","0.0","0.0",2016north
Britalia Las Margaritas,"-74.04970641412845","4.746496058423927","0.0197516923076923","0.0253881153846153","0.0867794615384615","0.0754221153846153","0.3649858461538461","0.1612232692307692","0.0918831153846153","0.7692307692307693","0.0","0.0384615384615384","0.0","0.2307692307692307",2016north
Britalia San Diego 2,"-74.05661923877634","4.7486885273419","0.0260235555555555","0.0088446666666666","0.1016674444444444","0.0261547777777777","0.1982347777777778","0.139847","0.1764055555555555","1.0","0.0","0.0","0.0","0.2222222222222222",2016north
Buenavista,"-74.02670608746453","4.766866562694011","0.0077254418604651","0.0295918604651162","0.0945984341085271","0.0390846550387596","0.2788294418604651","0.1859464379844961","0.1048109108527131","0.7209302325581395","0.0232558139534883","0.0348837209302325","0.0","0.1085271317829457",2016north
Buenavista La Estrellita II,"-74.02344887726137","4.766819173975979","0.0134600136986301","0.0192837260273972","0.0749655205479452","0.0365744657534246","0.3150522191780822","0.1826130273972602","0.143502808219178","1.1506849315068493","0.0","0.0","0.0","0.0958904109589041",2016north
Burgos Britalia,"-74.06438403186172","4.74608604185112","0.0374472","0.0142377333333333","0.0993493333333333","0.0600336","0.1767440666666666","0.2198976","0.1628891333333333","0.8666666666666667","0.0666666666666666","0.0","0.0","0.2666666666666666",2016north
Cabañas del Norte,"-74.0307645896355","4.735857486262675","0.02831825","0.0051965833333333","0.1425125833333333","0.0374018333333333","0.18636","0.2505834166666666","0.0779059166666666","1.25","0.0","0.0","0.0","0.0833333333333333",2016north
Calamari,"-74.03596087648867","4.734779714656323","0.0242020454545454","0.0132032727272727","0.0287373181818181","0.0082730454545454","0.0560458636363636","0.1097113181818181","0.2223755454545454","0.0454545454545454","0.0","0.0","0.0","0.0909090909090909",2016north
California,"-74.02909154063106","4.737513469638379","0.0077831515151515","0.0020238484848484","0.0859702424242424","0.088205303030303","0.3291163333333333","0.2146803939393939","0.0234060303030303","1.4545454545454546","0.1212121212121212","0.1212121212121212","0.0","0.1212121212121212",2016north
Calima Norte,"-74.06400116280486","4.749879160992843","0.0020208571428571","0.0016669999999999","0.0758248571428571","0.0662854285714285","0.4639984285714286","0.1536088571428571","0.0064715714285714","0.4285714285714285","0.0","0.0","0.0","0.0",2016north
Campanella,"-74.08233243531762","4.750767244283868","0.038196125","0.0238069375","0.1249935","0.080827875","0.160515625","0.119155","0.274697375","1.875","0.0625","0.1875","0.0","0.125",2016north
Campo Hermoso,"-74.0476859946925","4.7608245155933","0.0","0.0","0.134783","0.0248299999999999","0.2552975","0.2516899999999999","0.0537905","2.0","0.0","0.0","0.0","0.0",2016north
Campos de Silencio,"-74.05548808929179","4.742043892451708","0.0379996666666666","0.026102298245614","0.1017957807017543","0.0522700350877192","0.152671649122807","0.1731159035087719","0.2224181403508772","0.5263157894736842","0.1140350877192982","0.0526315789473684","0.0","0.0964912280701754",2016north
Canaima,"-74.0410723625781","4.7710581014013","0.0325083157894736","0.0066554210526315","0.0796291578947368","0.0090292631578947","0.0333257368421052","0.3741226315789474","0.2959096842105262","1.368421052631579","1.894736842105263","0.0","0.0","0.0526315789473684",2016north
Cantagallo - Carmel Club Campestre,"-74.05150575989468","4.739682431413296","0.0271150866141732","0.0065856692913385","0.1217115118110236","0.0526627244094488","0.0523531181102362","0.2518472204724409","0.2370148661417322","0.2992125984251969","0.0866141732283464","0.0472440944881889","0.0","0.1181102362204724",2016north
Cantalejo,"-74.05784564035878","4.74357787571396","0.0467346769230769","0.0230663999999999","0.0853718461538461","0.0457601692307692","0.2996878923076923","0.136791","0.1281608","0.9384615384615383","0.0461538461538461","0.0153846153846153","0.0","0.0769230769230769",2016north
Canódromo,"-74.05533963526766","4.707805451161755","0.0099796666666666","0.003630619047619","0.1687717857142857","0.0638135","0.079646738095238","0.3132027857142857","0.1790864761904761","0.2619047619047619","0.0","0.0714285714285714","0.0","0.1428571428571428",2016north
Canódromo - Urb. Atabanza,"-74.05811315022216","4.708023480649732","0.0147842","0.00423295","0.122056375","0.0866753","0.065059325","0.18870205","0.334348","0.7","0.0","0.05","0.0","0.125",2016north
Canódromo - Urb. Tierra Linda,"-74.05630284464874","4.710333211846916","0.036927619047619","0.0090214444444444","0.2012240158730159","0.0451105555555555","0.0906118095238095","0.3029193492063492","0.1516110158730158","0.4761904761904761","0.0634920634920634","0.0476190476190476","0.0","0.1111111111111111",2016north
Caobos Salazar,"-74.03484582513246","4.727543710331925","0.0212380230414746","0.0149000829493087","0.1111251474654377","0.0340350737327188","0.2582263041474654","0.1985491428571428","0.1156812488479262","1.0921658986175116","0.304147465437788","0.1382488479262673","0.0","0.0829493087557603",2016north
Caobos Salazar Urb. Capri I y II Sector,"-74.03424852239455","4.728200930380434","0.0274491710526315","0.0118711578947368","0.1016675921052631","0.0514598421052631","0.2625177236842105","0.2138193289473684","0.1198696710526315","0.75","0.4210526315789473","0.0789473684210526","0.0","0.1184210526315789",2016north
Casa Blanca I,"-74.07517081104936","4.738436770552381","0.018777484375","0.0577869374999999","0.048426953125","0.0260119375","0.37862615625","0.14678453125","0.0796909375","0.90625","0.0","0.03125","0.0","0.015625",2016north
Casa Blanca II,"-74.073263122893","4.7389090953013","0.0","0.0","0.0","0.0","0.0","0.0102216666666666","0.4869853333333333","0.0","0.0","0.0","0.0","0.0",2016north
Casablanca (Hacienda),"-74.06701206680326","4.740834436412807","0.0253313023255813","0.0013878837209302","0.0724739069767441","0.0067257209302325","0.2604169302325581","0.0756490232558139","0.1008706511627906","0.3720930232558139","0.0465116279069767","0.0232558139534883","0.0","0.1395348837209302",2016north
Casablanca Sector Bellavista,"-74.07792104962175","4.737608557165669","0.0028035","0.0014069375","0.0519005","0.023638875","0.6024766875","0.1041063124999999","0.07630075","0.625","0.0","0.125","0.0","0.0",2016north
Casablanca Sector El Plan,"-74.06799306315342","4.737306830806247","0.0284241578947368","0.0026384210526315","0.0213884210526315","0.0067602105263157","0.2202778421052631","0.1148504736842105","0.3056034736842105","0.1578947368421052","0.0","0.0","0.0","0.0526315789473684",2016north
Castañuela II,"-74.05810326499294","4.725773475238379","0.07925665625","0.007534875","0.12755221875","0.021536875","0.10730703125","0.25009309375","0.15896396875","0.9375","0.0","0.03125","0.0","0.125",2016north
Cedritos,"-74.03505892587518","4.71897150844739","0.0316647844311377","0.0230059520958083","0.1074105359281437","0.0604210838323353","0.2088235479041916","0.1903392724550898","0.1778455508982035","1.2964071856287425","0.1287425149700598","0.0658682634730539","0.0","0.1347305389221557",2016north
Cedro Bolívar,"-74.04542763454015","4.736009032003184","0.0126526374269005","0.0261671578947368","0.0944093859649122","0.0670468070175438","0.0283453859649122","0.2802432397660818","0.1555381169590643","0.52046783625731","0.3567251461988304","0.0760233918128654","0.0","0.0701754385964912",2016north
Cedro Bolívar II Sector,"-74.03997004811328","4.72959893188158","0.0241542375","0.0101289875","0.0922666","0.02160845","0.1555480374999999","0.1824855375","0.2071904","0.7","0.0375","0.0625","0.0","0.1875",2016north
