objectid,cod_loc,localidad,estado,barriocomu,cod_polbar,shape_area,shape_len,codigo_upz,area_m2,population_x,pop_density_x,estrato_0,estrato_1,estrato_2,estrato_3,estrato_4,estrato_5,estrato_6,street_total_length,street_len_CL,street_ratio_CL,street_len_KR,street_ratio_KR,street_len_None,street_ratio_None,street_len_AK,street_ratio_AK,street_len_TV,street_ratio_TV,street_len_DG,street_ratio_DG,street_len_AC,street_ratio_AC,barrio,longitude,latitude,upz_code,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,population_y,pop_density_y,murder_rate,source,Matched_Barrio,Cantidad,murder_rate_per_1000
2651,10,Engativá,LEGALIZADO,la estrada,100093,4.19E-05,0.030787077,26,513631.5287,16357,31845.7865,0.005409773,0,0,0.994590227,0,0,0,15630.67726,3881.487867,0.248324996,8895.430268,0.569100758,0,0,1281.610777,0.081993298,0,0,5.066627586,0.000324146,1567.081717,0.100256802,La Estrada,-74.09348547,4.679021353,26,0.001075095,0.000537284,0.069666673,0.068929028,0.510986199,0.195553536,0.005126246,1.165876777,0.066350711,0.037914692,0,0.099526066,16357,31845.7865,0.000122272,2016north,la estrada,2,0.12227181
2590,4,San Cristóbal,LEGALIZADO,la colmena,40073,5.23E-06,0.012629795,50,64116.80507,1804,28136.1493,0.032060237,0,0.967939763,0,0,0,0,2089.755236,1110.28923,0.531301088,802.1574076,0.383852326,0,0,0,0,92.77551171,0.044395396,84.53308621,0.04045119,0,0,La Colmena,-74.09586167,4.556543284,50,0.010280483,0.059665724,0.115945207,0.01746869,0.136874483,0.326231655,0.127109621,1.172413793,0,0,0,0.034482759,1804,28136.1493,0.001108647,2016south,la colmena,2,1.10864745
641,1,Usaquén,LEGALIZADO,cedritos,10050,5.10E-05,0.036974614,13,625764.0009,17271,27599.86189,0.030460412,0,0,0,0.871073669,0.09846592,0,10675.4249,5826.637966,0.545799162,2825.722465,0.264694145,0,0,1754.4264,0.164342536,0,0,3.703445993,0.000346913,0,0,Cedritos,-74.03505893,4.718971508,13,0.031664784,0.023005952,0.107410536,0.060421084,0.208823548,0.190339272,0.177845551,1.296407186,0.128742515,0.065868263,0,0.134730539,17271,27599.86189,0.000115801,2016north,cedritos,2,0.115801054
2691,10,Engativá,SIN LEGALIZAR,aguas claras,100281,5.85E-06,0.010719608,30,71798.45954,1929,26866.87169,0.119902162,0,0,0.880097838,0,0,0,2425.542575,1281.684247,0.528411358,975.9997,0.402384073,0,0,0,0,0,0,0,0,167.858628,0.069204569,Aguas Claras,-74.10247054,4.695171146,30,0.009221408,0.004614602,0.065740155,0.08766232,0.38636901,0.257387097,0.049623786,1.223300971,0.058252427,0.038834951,0,0.126213592,1929,26866.87169,0.001036807,2016north,aguas claras,2,1.036806636
336,14,Los Mártires,LEGALIZADO,eduardo santos,140003,3.45E-05,0.026887547,37,423432.648,10187,24058.13545,0.056883759,0,0,0.943116241,0,0,0,11604.22867,4122.818897,0.355285906,5101.991517,0.439666579,0,0,546.2338396,0.047071964,487.5781858,0.042017285,372.8185934,0.032127822,675.2535341,0.058190299,Eduardo Santos,-74.09059084,4.594862599,37,0.011562154,0.004234985,0.101473275,0.063519751,0.387714566,0.200218408,0.047305219,1.431670282,0.021691974,0.134490239,0,0.151843818,10187,24058.13545,0.000196329,2016south,eduardo santos,2,0.196328654
3577,11,,LEGALIZADO,prado pinzon,110438,2.47E-05,0.023509324,19,303307.2641,6479,21361.17649,0.029274691,0,0,0.965704108,0.005021201,0,0,7556.968981,2543.806614,0.336617316,2727.936297,0.360982863,0,0,1598.102114,0.211473954,0.236695729,3.13E-05,0,0,625.6564213,0.08279198,Prado Pinzon,-74.05366265,4.726053141,19,0.022947278,0.010871019,0.072879057,0.075673598,0.327401072,0.22127088,0.074268794,0.966507177,0.04784689,0.038277512,0,0.129186603,6479,21361.17649,0.00030869,2016north,prado pinzon,2,0.308689613
983,8,Kennedy,LEGALIZADO,argelia,80335,9.90E-06,0.014988276,45,121512.6595,2172,17874.68078,0.10688322,0,0,0.89311678,0,0,0,3373.716722,608.1012936,0.180246696,1164.657356,0.345214922,0,0,1391.575017,0.412475359,0,0,209.3830553,0.062063022,0,0,Argelia,-74.14200769,4.607393528,45,0.005073353,0.000314059,0.113065706,0.060351647,0.234241882,0.261966471,0.021179412,1.352941176,0.647058824,0.352941176,0,0,2172,17874.68078,0.000460405,2016south,argelia,2,0.920810313
3283,9,Fontibón,LEGALIZADO,modelia,90073,3.06E-05,0.024203244,114,375923.4383,4872,12960.08576,0.077162061,0,0,0,0.922837939,0,0,10044.35162,3627.019132,0.361100374,3573.287508,0.355750938,0,0,1314.780134,0.130897462,667.4829557,0.066453563,0,0,837.7835462,0.083408425,Modelia,-74.11618471,4.665768759,114,0.030377712,0.017977988,0.103139846,0.059378023,0.202069765,0.253998723,0.160876285,0.569230769,0.023076923,0.038461538,0,0.107692308,4872,12960.08576,0.000205255,2016central,modelia,2,0.410509031
1269,8,Kennedy,SIN LEGALIZAR,villa claudia,80302,5.93E-06,0.010674266,44,72810.00629,937,12869.11027,0.231573874,0,0,0.768426126,0,0,0,2056.838724,1000.227483,0.486293588,1056.611241,0.513706412,0,0,0,0,0,0,0,0,0,0,Villa Claudia,-74.12856289,4.617285545,44,0.106215043,0.008910435,0.08822513,0.029862739,0.243942,0.303843565,0.066441174,0.565217391,0,0,0,0.173913043,937,12869.11027,0.002134472,2016central,villa claudia,2,2.134471718
3300,12,Barrios Unidos,LEGALIZADO,12 de octubre,120007,2.89E-05,0.029428719,22,354822.9723,4163,11732.61126,0.095347039,0,0,0.904652961,0,0,0,9975.127192,2108.341431,0.211359854,3823.609084,0.383314319,0,0,2075.993803,0.208117026,641.3661997,0.064296544,243.8107122,0.024441865,1004.555822,0.100706066,12 de Octubre,-74.07471484,4.669272194,22,0.006186753,0.012573473,0.07409444,0.04958222,0.330727324,0.240725033,0.023246753,1.153846154,0.021978022,0.038461538,0,0.230769231,4163,11732.61126,0.000480423,2016central,12 de octubre,2,0.480422772
