objectid,cod_loc,localidad,estado,barriocomu,cod_polbar,shape_area,shape_len,codigo_upz,area_m2,population_x,pop_density_x,estrato_0,estrato_1,estrato_2,estrato_3,estrato_4,estrato_5,estrato_6,street_total_length,street_len_CL,street_ratio_CL,street_len_KR,street_ratio_KR,street_len_None,street_ratio_None,street_len_AK,street_ratio_AK,street_len_TV,street_ratio_TV,street_len_DG,street_ratio_DG,street_len_AC,street_ratio_AC,barrio,longitude,latitude,upz_code,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,population_y,pop_density_y,murder_rate,source,Matched_Barrio,Cantidad
810,1,Usaquén,LEGALIZADO,tibabita i sector,10233,2.06E-06,0.007650512,9,25330.4646,627,24752.80299,0.064995422,0,0.022721576,0.912283001,0,0,0,665.8952113,325.962134,0.489509653,339.186714,0.509369505,0,0,0,0,0,0,0,0,0,0,Tibabita I Sector,-74.02826866,4.764961352,9,0.017212364,0.021992818,0.058850818,0.050341727,0.190348727,0.278541091,0.062153273,0.818181818,0,0.090909091,0,0.363636364,627,24752.80299,0,2016north,,0
811,1,Usaquén,LEGALIZADO,tibabita,10227,6.68E-06,0.011344971,9,82002.97907,2596,31657.38647,0,0,0,0.752477032,0.247522968,0,0,1565.47766,261.5823292,0.167094259,447.8324505,0.286067609,0,0,439.9968752,0.281062379,0,0,0,0,329.3080299,0.210356263,Tibabita,-74.03058394,4.767344168,9,0.024319571,0.010024381,0.069291405,0.042915476,0.238819071,0.217163905,0.154764286,0.666666667,0,0,0,0.047619048,2596,31657.38647,0,2016north,,0
831,1,Usaquén,SIN LEGALIZAR,canapro,10046,7.74E-06,0.011627555,10,95004.24599,2909,30619.6841,0.000369117,0,0,0,0.999630883,0,0,1697.276193,322.7750818,0.190172397,354.0724447,0.208612155,0,0,351.5469569,0.20712419,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
965,8,Kennedy,LEGALIZADO,villa alsacia,80297,2.19E-05,0.02125969,46,268146.248,4842,18057.31028,0.336861274,0,0,0.663138726,0,0,0,7387.591052,2871.307785,0.388666314,2528.292617,0.342235053,0,0,1340.895944,0.18150652,336.8748151,0.04560009,168.5312398,0.022812746,141.688652,0.019179277,Villa Alsacia,-74.13354032,4.644443426,46,0.041364019,0.021954981,0.1041962,0.038958276,0.179796486,0.2382586,0.089137905,0.771428571,0.104761905,0.028571429,0,0.114285714,4842,18057.31028,0,2016central,,0
1022,8,Kennedy,SIN LEGALIZAR,el palenque,80092,5.64E-06,0.00951527,48,69262.38126,3838,55412.47544,0.060272728,0,0,0.939727272,0,0,0,3192.516235,1689.238387,0.529124447,1489.913727,0.466689475,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1078,8,Kennedy,SIN LEGALIZAR,santa rosa del carvajal,80268,7.56E-06,0.012303497,44,92791.25569,1520,16380.85387,0.13803906,0,0,0.86196094,0,0,0,2477.160833,1104.941612,0.446051624,826.8822665,0.333802414,0,0,0,0,0,0,0,0,545.3369542,0.220145962,Santa Rosa del Carvajal,-74.13204891,4.611790927,44,0.012900721,0.004675256,0.086347744,0.057037488,0.25921307,0.20995486,0.160308605,1.093023256,0.093023256,0.11627907,0,0.209302326,1520,16380.85387,0,2016central,,0
1079,8,Kennedy,LEGALIZADO,santa catalina sector ii,80263,5.34E-06,0.009404561,46,65501.8876,1189,18152.14864,0.181192968,0,0.813424621,0.005382411,0,0,0,2447.780462,534.4866108,0.218355616,1627.483754,0.664881422,0,0,0,0,0,0,0,0,278.3626878,0.113720447,Santa Catalina Sector II,-74.1423393,4.651941977,46,0.004122421,0,0.080477789,0.019324947,0.385163737,0.251080105,0.009961684,0.631578947,0,0,0,0,1189,18152.14864,0,2016central,,0
1205,8,Kennedy,SIN LEGALIZAR,casablanca i,80045,5.21E-06,0.009549433,47,63931.55193,3236,50616.63455,0.141373945,0,0,0.858626055,0,0,0,1977.731724,975.1430197,0.493061323,887.6240794,0.448809143,0,0,97.55413421,0.049326273,1.036119083,0.000523893,0,0,0,0,Casablanca I,-74.17262705,4.616074129,47,0.061129,0,0.306204,0.011151,0.102653,0.272536,0.111856,0,0,0,0,0,3236,50616.63455,0,2016central,,0
1788,7,Bosa,LEGALIZADO,hermanos barragán,70112,9.88E-07,0.00555824,85,12121.00485,304,25080.42886,0,0,1,0,0,0,0,203.137401,114.6298587,0.564297161,88.5075423,0.435702839,0,0,0,0,0,0,0,0,0,0,Hermanos Barragán,-74.17805034,4.599704063,85,0.0502295,0.0282915,0.2320015,0.021064,0.09102,0.2409095,0.1492135,0.5,0,0,0,0,304,25080.42886,0,2016south,,0
2078,11,,SIN LEGALIZAR,san carlos (predio),110556,3.49E-07,0.00247067,28,4275.876973,214,50048.21265,0,0,0,1,0,0,0,2.826299707,0,0,2.826299707,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
