Barrio,Matched_Barrio,UPZ_codigo
FLORIDA BLANCA E-10,Florida,102
FLORIDA SUR ALTO E-19,Florida,102
FONTANAR DEL RÍO B E-11,Fontanar del Río,71
FONTIBON CENTRO E-9,Centro Fontibón,75
GARCES NAVAS E-10,Garcés Navas,73
GILMAR E-11,Gilmar,18
GRAN BRITALIA E-8,Gran Britalia,81
GRAN COLOMBIA E-3,Colombia,98
GRAN YOMASA E-5,Gran Yomasa,57
GRANADA E-2,S.C. Granada,90
GRANADA NORTE E-11,Granada Norte,18
GRANADA SUR E-4,Granada Sur,34
GRANCOLOMBIANO I SECTOR E-7,Grancolombiano I,85
GUACAMAYAS I-II E-4,Las Guacamayas,50
GUSTAVO RESTREPO E-18,Gustavo Restrepo,36
HOLANDA E-7,Holanda,84
INGLES E-18,S.C. Ingles,39
ISLA DEL SOL E-6,Isla del Sol,42
ISLANDIA E-7,Islandia,85
JERUSALÉN E-19,Jerusalén,70
JIMÉNEZ DE QUEZADA E-7,Jiménez De Quesada,85
JORGE URIBE BOTERO E-7,S.C. Jorge Uribe Botero,84
JOSE ANTONIO GALAN E-7,San Antonio,84
JUAN JOSE RONDON E-4,Juan José Rondon,52
JUAN JOSÉ RONDON E-19,Juan José Rondon,52
JUAN JOSÉ RONDON SECTOR LA CASONA E-19,Juan José Rondon,52
JUAN REY E-4,Juan Rey,51
JUAN XXIII E-2,Juan XXIII,98
KASANDRA E-9,Kasandra,77
LA ALAMEDA E-19,Alameda,74
LA ALAMEDA E-3,Alameda,74
LA ALAMEDA E-9,Alameda,74
LA ANDREA E-5,La Andrea,57
LA AURORA I SECTOR E-5,La Aurora,85
LA BELLEZA E-4,La Belleza,51
LA CANDELARIA E-17,Candelaria la Nueva,66
LA CAPUCHINA E-3,La Capuchina,93
LA CAROLINA E-1,La Carolina,54
LA CAROLINA SUBA E-11,La Carolina,54
LA CONCEPCION E-7,La Concepción,84
LA CUMBRE E-19,La Cumbre,68
LA ESMERALDA E-13,Esmeralda,64
LA ESMERALDA E-19,Esmeralda,64
LA ESMERALDA E-5,Esmeralda,64
LA ESPAÑOLA E-10,Española III Sector,29
LA ESPERANZA E-4,Esperanza,55
LA ESTACIÓN E-7,La Estación,85
LA ESTANCIA E-19,La Estancia,69
LA ESTANZUELA E-14,La Estanzuela,28
LA ESTRADA E-10,La Estrada,26
LA FAVORITA E-14,La Favorita,102
LA FISCALA E-5,La Fiscala,56
LA FLORA ALTA E-4,La Flora,52
LA FLORIDA E-10,Florida,102
LA FLORIDA SUR E-19,Florida,102
LA FORTALEZA E-5,La Fortaleza,57
LA FRAGUA E-15,La Fragua,37
LA FRAGUITA ZONA INVADIDA E-15,La Fraguita,38
LA GAITANA E-11,La Gaitana,71
LA GRANJA E-10,La Granja,30
LA IGUALDAD E-8,La Igualdad,44
LA INDEPENDENCIA E-7,La Independencia,84
LA LIBERTAD E-7,La Libertad,22
LA LLANURA   E-8,La Llanurita,9
LA MARIA   E-8,La Maria,61
LA MARIA E-19,La Maria,61
LA MARICHUELA E-5,Marichuela,57
LA PALESTINA E-9,Palestina,75
LA PAZ (EL CEBADAL) E-18,La Paz,98
LA PAZ E-18,La Paz,98
LA PAZ E-5,La Paz,98
